"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-7699","1998-12-03","1998W49","38.20318190255273"
"-7692","1998-12-10","1998W50","-9.196412144843748"
"-7685","1998-12-17","1998W51","46.95509254310036"
"-7678","1998-12-24","1998W52","77.75461467820242"
"-7671","1998-12-31","1998W53","61.28972443206408"
"-7664","1999-01-07","1999W01","82.63737105746827"
"-7657","1999-01-14","1999W02","111.8627638604263"
"-7650","1999-01-21","1999W03","62.0184227959528"
"-7643","1999-01-28","1999W04","75.1434125099039"
"-7636","1999-02-04","1999W05","198.26277099717402"
"-7629","1999-02-11","1999W06","217.38714123166028"
"-7622","1999-02-18","1999W07","355.5126111862976"
"-7615","1999-02-25","1999W08","217.62076464471193"
"-7608","1999-03-04","1999W09","219.67894215326078"
"-7601","1999-03-11","1999W10","185.64070841767227"
"-7594","1999-03-18","1999W11","100.44651945622809"
"-7587","1999-03-25","1999W12","67.02457992488598"
"-7580","1999-04-01","1999W13","53.29187827083808"
"-7573","1999-04-08","1999W14","17.15538478987571"
"-7566","1999-04-15","1999W15","44.51339529688005"
"-7559","1999-04-22","1999W16","15.257001002367474"
"-7552","1999-04-29","1999W17","-8.728336648168352"
"-7545","1999-05-06","1999W18","60.43887105549561"
"-7538","1999-05-13","1999W19","50.63785533627504"
"-7531","1999-05-20","1999W20","74.74733857064894"
"-7524","1999-05-27","1999W21","20.647291003469718"
"-7517","1999-06-03","1999W22","9.22067009056525"
"-7510","1999-06-10","1999W23","66.35511726444054"
"-7503","1999-06-17","1999W24","65.9445875251181"
"-7496","1999-06-24","1999W25","136.89088822137717"
"-7489","1999-07-01","1999W26","127.10510469379062"
"-7482","1999-07-08","1999W27","53.50889208098863"
"-7475","1999-07-15","1999W28","116.03561452120027"
"-7468","1999-07-22","1999W29","56.63131518433795"
"-7461","1999-07-29","1999W30","55.25550301404655"
"-7454","1999-08-05","1999W31","136.88174470877505"
"-7447","1999-08-12","1999W32","124.49805328782998"
"-7440","1999-08-19","1999W33","56.10706753178715"
"-7433","1999-08-26","1999W34","59.72601961393332"
"-7426","1999-09-02","1999W35","91.3864913068171"
"-7419","1999-09-09","1999W36","73.13396221105984"
"-7412","1999-09-16","1999W37","30.02715646789784"
"-7405","1999-09-23","1999W38","84.13719733891946"
"-7398","1999-09-30","1999W39","65.54658182360185"
"-7391","1999-10-07","1999W40","-32.65200990274013"
"-7384","1999-10-14","1999W41","20.642946950862097"
"-7377","1999-10-21","1999W42","57.54035456512179"
"-7370","1999-10-28","1999W43","-1.845082177063773"
"-7363","1999-11-04","1999W44","-19.394515070428156"
"-7356","1999-11-11","1999W45","37.013327345976904"
"-7349","1999-11-18","1999W46","-16.49961607058492"
"-7342","1999-11-25","1999W47","25.18749470406499"
"-7335","1999-12-02","1999W48","9.192649844605398"
"-7328","1999-12-09","1999W49","67.62927924568385"
"-7321","1999-12-16","1999W50","126.60460747226784"
"-7314","1999-12-23","1999W51","93.21809794867295"
"-7307","1999-12-30","1999W52","249.56000896072896"
"-7300","2000-01-06","2000W01","269.7100824347784"
"-7293","2000-01-13","2000W02","225.73638454197908"
"-7286","2000-01-20","2000W03","260.69431498454264"
"-7279","2000-01-27","2000W04","171.62579938354156"
"-7272","2000-02-03","2000W05","152.558676541095"
